cod_ine,municipio,departamento,sdi,poblacion,urbanizacion
21304,Calamarca,La Paz,52.997996269927,12352,0
21305,Patacamaya,La Paz,56.4486571491763,23665,49.2
21306,Colquencha,La Paz,50.4890832644561,10674,31.2
21307,Collana,La Paz,52.3023061976246,4777,56.4
21401,Coroico,La Paz,58.8356931135515,20691,12.1
21402,Coripata,La Paz,59.2303465768236,18873,0
21501,Ixiamas,La Paz,50.494268070921,9916,43
21502,San Buenaventura,La Paz,52.1826709567577,9453,39.6
21601,Charazani,La Paz,49.3466357343449,13482,25.4
21602,Curva,La Paz,46.227099031227,3760,0
21701,Copacabana,La Paz,54.2679213752039,15374,38.4
21702,San Pedro de Tiquina,La Paz,51.1568194635707,5789,0
21703,Tito Yupanqui,La Paz,45.3965554311652,6580,55.2
21801,San Pedro Cuarahuara,La Paz,48.9584066427586,9016,0
21802,Papel Pampa,La Paz,50.2879396352853,7402,0
21803,Chacarilla,La Paz,43.1193635162159,2282,0
21901,Santiago de Machaca,La Paz,52.0936061439697,4522,0
21902,Catacora,La Paz,50.9773586337158,3891,0
22001,Caranavi,La Paz,53.5378996177734,53622,26.4
22002,Alto Beni,La Paz,47.508013803572,12123,0
30101,Cochabamba,Cochabamba,73.6619240630707,724126,100
30201,Aiquile,Cochabamba,50.3673015508927,24676,33.8
30202,Pasorapa,Cochabamba,56.8059249415307,7284,45.7
30203,Omereque,Cochabamba,55.112912102369,5850,0
30301,Independencia,Cochabamba,43.4888901279672,24898,0
30302,Morochata,Cochabamba,46.1746559633831,13009,0
30303,Cocapata,Cochabamba,40.3097786822224,20406,0
30401,Tarata,Cochabamba,54.9835195109837,8722,47.9
30402,Anzaldo,Cochabamba,43.0671661347711,7415,0
30403,Arbieto,Cochabamba,50.9473910685794,23940,20.5
30404,Sacabamba,Cochabamba,44.696022060294,4508,0
30501,Arani,Cochabamba,57.8952727254166,10046,37.3
30502,Vacas,Cochabamba,46.3743015352077,9154,0
30601,Arque,Cochabamba,40.4372912544402,10947,0
30602,Tacopaya,Cochabamba,43.5842215541383,10582,0
30701,Capinota,Cochabamba,54.9692094904202,21644,47.3
30702,Santivañez,Cochabamba,51.9742988071096,7295,0
30703,Sicaya,Cochabamba,46.5532794965368,5789,0
30801,Cliza,Cochabamba,60.5361228391448,23987,51.4
30802,Toko,Cochabamba,52.658196054492,7420,0
30803,Tolata,Cochabamba,57.5555646425563,6183,60.8
30901,Quillacollo,Cochabamba,69.80540463062,169360,95.2
30902,Sipe Sipe,Cochabamba,58.7650273431953,47135,34.4
30903,Tiquipaya,Cochabamba,65.8162358778686,65881,91.8
30904,Vinto,Cochabamba,64.0272181509835,62131,78.9
30905,Colcapirhua,Cochabamba,68.1294210565888,59172,100
31001,Sacaba,Cochabamba,68.4849022939002,208913,87
31002,Colomi,Cochabamba,50.094341365112,22514,20.3
31003,Villa Tunari,Cochabamba,53.3769792287772,79253,12.2
31101,Tapacarí,Cochabamba,39.3959149382008,25852,0
31201,Totora,Cochabamba,47.8283701156642,17372,0
31202,Pojo,Cochabamba,47.9976213239077,10419,0
31203,Pocona,Cochabamba,51.1414132862761,10945,0
31204,Chimoré,Cochabamba,53.9307180133737,26855,28.8
31205,Puerto Villarroel,Cochabamba,49.5838067940263,52357,27.9
31206,Entre Ríos,Cochabamba,54.6831839341304,36351,44.2
31301,Mizque,Cochabamba,44.9749023808905,29059,13
31302,Vila Vila,Cochabamba,41.0996651081087,6680,0
31303,Alalay,Cochabamba,40.5140359776164,3457,0
31401,Punata,Cochabamba,63.7233495829151,33011,67.9
31402,Villa Rivero,Cochabamba,52.4982532304409,9034,0
31403,San Benito,Cochabamba,58.0657350079832,17085,62.7
31404,Tacachi,Cochabamba,51.0872378123321,1424,0
31405,Cuchumuela,Cochabamba,49.6171989107941,2951,0
31501,Bolívar,Cochabamba,42.1609295025715,7370,0
31601,Tiraque,Cochabamba,53.6756201164201,21913,11.3
31602,Shinahota,Cochabamba,54.6990875150789,24264,27.2
40101,Oruro,Oruro,67.3622270063521,302643,100
40102,Caracollo,Oruro,53.2471005376273,23933,23.2
40103,El Choro,Oruro,42.9356756417656,11199,0
40104,Pari-Paria-Soracachi,Oruro,48.8805252375331,11598,0
40201,Challapata,Oruro,51.1226459549664,31259,44.8
40202,Quillacas,Oruro,50.514942244343,4474,0
40301,Corque,Oruro,46.4400726761043,9329,0
40302,Choque Cota,Oruro,46.9948664685087,1946,0
40401,Curahuara de Carangas,Oruro,54.6718347870288,3435,0
40402,Turco,Oruro,50.4596312076829,5812,0
40501,Huachacalla,Oruro,61.3233150737566,1011,0
40502,Escara,Oruro,49.1423256373113,4463,0
40503,Cruz de Machacamarca,Oruro,45.1732781788,3280,0
40504,Yunguyo de Litoral,Oruro,50.535993582626,546,0
40505,Esmeralda,Oruro,53.2202051265,2854,0
40601,Poopó,Oruro,51.3320946756624,8032,48.3
40602,Pazña,Oruro,54.284648940773,6054,0
40603,Antequera,Oruro,51.506985773185,3070,0
40701,Huanuni,Oruro,56.8345406064804,27975,82.4
40702,Machacamarca,Oruro,56.5187469638738,5082,57
40801,Salinas de Garci Mendoza,Oruro,49.2566713435294,14020,0
40802,Pampa Aullagas,Oruro,47.3183014420741,2852,0
40901,Sabaya,Oruro,50.0405475095134,8461,0
40902,Coipasa,Oruro,49.8980973114836,951,0
40903,Chipaya,Oruro,45.2350796893112,2090,0
41001,Toledo,Oruro,45.5593624177592,11653,0
41101,Eucaliptus,Oruro,58.5788452273782,4972,49.9
41201,Santiago de Andamarca,Oruro,46.0093064386822,5380,0
41202,Belén de Andamarca,Oruro,48.4433889191664,2127,0
41301,San Pedro de Totora,Oruro,48.3898431781523,5726,0
41401,Huari,Oruro,50.554794465016,16633,31.7
41501,La Rivera,Oruro,52.840566889239,581,0
41502,Todos Santos,Oruro,45.5031252695486,1069,0
41503,Carangas,Oruro,46.5006384336621,891,0
41601,Huayllamarca,Oruro,47.4521029795583,5715,0
50101,Potosí,Potosí,66.1683628317404,220260,92
50102,Tinguipaya,Potosí,36.3834357799581,31591,0
50103,Yocalla,Potosí,49.3750347005529,9674,0
50104,Urmiri,Potosí,42.4381888703995,3529,0
50201,Uncía,Potosí,51.0988000301452,24686,40.4
50202,Chayanta,Potosí,45.9272682966669,17470,15.1
50203,Llallagua,Potosí,58.1127545556205,42861,85.3
50204,Chuquihuta,Potosí,38.3659610152355,9280,0
50301,Betanzos,Potosí,47.4886714263576,31922,13.9
50302,Chaquí,Potosí,47.9570437577391,10134,0
50303,Tacobamba,Potosí,37.2097815800235,11251,0
50401,Colquechaca,Potosí,40.2753796801846,35997,12.1
50402,Ravelo,Potosí,38.9126781468505,20939,0
50403,Pocoata,Potosí,41.0498780320173,31517,0
50404,Ocurí,Potosí,38.4851312792263,14666,0
50501,San Pedro de Buena Vista,Potosí,36.3450614999096,31718,0
50502,Toro Toro,Potosí,40.5523677223145,11088,0
50601,Cotagaita,Potosí,47.6171284083852,34088,20.2
50602,Vitichi,Potosí,47.4836550001317,10332,0
50701,Villa de Sacaca,Potosí,42.1548324179023,19118,12.3
50702,Caripuyo,Potosí,43.4630520824156,8503,0
50801,Tupiza,Potosí,59.9192244713137,48591,61.3
50802,Atocha,Potosí,56.5382667699734,12543,39.8
50901,"Colcha ""K""",Potosí,54.0703751568631,15977,0
50902,San Pedro de Quemes,Potosí,55.6297258679672,1289,0
51001,San Pablo de Lípez,Potosí,48.6144620329977,4118,0
51002,Mojinete,Potosí,40.4299782386762,1660,0
51003,San Antonio de Esmoruco,Potosí,47.9438392921639,2828,0
51101,Puna,Potosí,50.1388641852043,21225,0
51102,"Caiza ""D""",Potosí,51.4636837384909,11707,21.9
51103,Ckochas,Potosí,38.1636524534277,15121,0
51201,Uyuni,Potosí,56.3554661639158,39494,61.1
51202,Tomave,Potosí,46.8343478668263,16329,0
51203,Porco,Potosí,55.2223253033411,11395,74.6
51301,Arampampa,Potosí,42.540493147859,3761,0
51302,Acasio,Potosí,42.1283480206568,6435,0
51401,Llica,Potosí,49.1531655530187,5301,0
51402,Tahua,Potosí,52.3010196207512,1441,0
51501,Villazón,Potosí,61.9720045883369,50004,78.7
51601,San Agustín,Potosí,49.7789506085893,1712,0
60101,Tarija,Tarija,70.6379388082391,268387,87.4
60201,Padcaya,Tarija,59.3019028633714,18582,0
60202,Bermejo,Tarija,66.5691169064886,40404,85.7
60301,Yacuiba,Tarija,62.4510887173486,103723,69.6
60302,Caraparí,Tarija,63.0082309984781,17279,23.1
60303,Villamontes,Tarija,63.9377008858337,51916,75.8
60401,Uriondo,Tarija,59.4990903433751,15595,0
60402,Yunchará,Tarija,51.7815703492987,5621,0
60501,Villa San Lorenzo,Tarija,59.4975530688208,25796,14.3
60502,El Puente,Tarija,54.2506748489567,11920,0
60601,Entre Ríos,Tarija,55.5733333072205,24107,18.4
70101,Santa Cruz de la Sierra,Santa Cruz,64.1125904534413,1722480,99.2
70102,Cotoca,Santa Cruz,54.9955845392521,54851,53.4
70103,Porongo,Santa Cruz,55.6952293043836,17047,26.6
70104,La Guardia,Santa Cruz,56.4305335640711,177735,88.6
70105,El Torno,Santa Cruz,53.0177559725211,63298,64
70201,Warnes,Santa Cruz,60.1094901962483,214246,83.8
70202,Okinawa Uno,Santa Cruz,56.073423445466,14167,51.3
70301,San Ignacio de Velasco,Santa Cruz,51.7160262000592,63186,44.2
70302,San Miguel de Velasco,Santa Cruz,47.7582685624064,12568,38.5
70303,San Rafael,Santa Cruz,49.7778017307201,7444,51.7
70401,Buena Vista,Santa Cruz,56.3629807111278,13184,34.2
70402,San Carlos,Santa Cruz,54.3849365359537,23629,65.1
70403,Yapacaní,Santa Cruz,47.8315530014817,77152,65.8
70404,San Juan de Yapacaní,Santa Cruz,51.3110194740985,10692,58.8
70501,San José de Chiquitos,Santa Cruz,52.1602534965197,44739,43.2
70502,Pailón,Santa Cruz,54.0197793508112,47473,26
70503,Roboré,Santa Cruz,58.5703811670244,16308,67.7
70601,Portachuelo,Santa Cruz,61.1265856261963,19735,78.8
70602,Santa Rosa del Sara,Santa Cruz,47.2334571450143,23834,27.3
70603,Colpa Belgica,Santa Cruz,58.1267810706492,6132,75.4
70701,Lagunillas,Santa Cruz,52.141670019916,5664,0
70702,Charagua,Santa Cruz,48.0697817000213,40476,10.9
70703,Cabezas,Santa Cruz,49.7847189588047,31942,17.8
70704,Cuevo,Santa Cruz,54.656291369505,5358,49
70705,Gutiérrez,Santa Cruz,46.8016314968376,13644,0
70706,Camiri,Santa Cruz,62.6765296941167,36485,85.3
70707,Boyuibe,Santa Cruz,55.5026300612518,6154,66.9
70801,Vallegrande,Santa Cruz,60.9414050717285,18472,59
70802,Trigal,Santa Cruz,58.7710648964893,2243,0
70803,Moro Moro,Santa Cruz,55.4491932366015,2541,0
70804,Postrer Valle,Santa Cruz,53.4277448806748,2400,0
70805,Pucará,Santa Cruz,52.9386002740444,1887,0
70901,Samaipata,Santa Cruz,59.0342827288493,11731,42
70902,Pampa Grande,Santa Cruz,57.7642237705996,10558,38.8
70903,Mairana,Santa Cruz,57.3352581805532,13197,66.4
70904,Quirusillas,Santa Cruz,52.9277646094469,4092,0
71001,Montero,Santa Cruz,61.7853672935259,135931,98
71002,Gral. Saavedra,Santa Cruz,53.1119065056683,14065,37.1
71003,Mineros,Santa Cruz,57.7060213980879,27261,78.9
71004,Fernández Alonso,Santa Cruz,57.4549596200396,19808,59.2
71005,San Pedro,Santa Cruz,57.7149761920669,24077,38.8
71101,Concepción,Santa Cruz,51.9733743910738,24070,52.7
71102,San Javier,Santa Cruz,48.1371515978971,16027,52.3
71103,San Ramón,Santa Cruz,49.1539556539442,9295,85.4
71104,San Julián,Santa Cruz,52.082134468724,67701,40.9
71105,San Antonio de Lomerío,Santa Cruz,49.6567315657129,6926,0
71106,Cuatro Cañadas,Santa Cruz,53.5915965656477,28855,35.9
71201,San Matías,Santa Cruz,52.6141913698383,15960,43.8
71301,Comarapa,Santa Cruz,58.9176899819798,17511,33.4
71302,Saipina,Santa Cruz,55.1250973796527,9702,55.3
71401,Puerto Suárez,Santa Cruz,58.3606033278181,24409,82.4
71402,Puerto Quijarro,Santa Cruz,63.9955869499796,20068,98.3
71403,Carmen Rivero Tórrez,Santa Cruz,51.6166269657766,8056,45.9
71501,Ascensión de Guarayos,Santa Cruz,45.5206429396411,36383,73.8
71502,Urubichá,Santa Cruz,50.0470616554295,10233,89.4
71503,El Puente,Santa Cruz,42.7327676479343,16977,30.9
80101,Trinidad,Beni,61.2567394915707,130657,95.3
80102,San Javier,Beni,46.5474336863367,5906,0
80201,Riberalta,Beni,50.461161207472,101755,88.5
80202,Guayaramerín,Beni,53.0949158738434,44446,85.6
80301,Reyes,Beni,51.3806119008276,14539,54.4
80302,San Borja,Beni,47.1144936216456,44657,54.3
80303,Santa Rosa,Beni,55.5012336492162,10379,49.9
80304,Rurrenabaque,Beni,55.0988109071331,25035,70
80401,Santa Ana de Yacuma,Beni,52.6958747893773,18216,66.1
80402,Exaltación,Beni,44.1263213986514,6607,0
80501,San Ignacio,Beni,48.8754052007393,22564,47.6
80601,Loreto,Beni,43.8987342154711,4035,0
80602,San Andrés,Beni,47.2934013856574,13358,18.7
80701,San Joaquín,Beni,53.80483236554,8038,65.9
80702,San Ramón,Beni,52.4195715225937,5216,71.5
80703,Puerto Siles,Beni,44.7677952435903,999,0
80801,Magdalena,Beni,52.7329815297343,13077,70.8
80802,Baures,Beni,50.9862870199611,6247,35.7
80803,Huacaraje,Beni,46.9162442731964,4577,49.9
90101,Cobija,Pando,57.0501573968391,78555,95.4
90102,Porvenir,Pando,52.6383341196684,10967,55.2
90103,Bolpebra,Pando,40.779130539688,2368,0
90104,Bella Flor,Pando,48.5075942740417,4092,0
90201,Puerto Rico,Pando,49.1727676044741,7247,43.8
90202,San Pedro,Pando,36.3860799022934,3356,0
90203,Filadelfia,Pando,48.2550857929567,6149,0
90301,Puerto Gonzalo Moreno,Pando,47.4481734503351,9090,0
90302,San Lorenzo,Pando,41.9088464637166,8710,0
90303,El Sena,Pando,37.5689640092966,11338,31.3
90401,Santa Rosa,Pando,48.2072473669362,2506,0
90402,Ingavi,Pando,43.6232157563251,1840,0
90501,Nueva Esperanza,Pando,46.0170781719353,2422,0
90502,Villa Nueva-Loma Alta,Pando,43.0397562979038,3209,0
90503,Santos Mercado,Pando,40.9273014629275,2506,0
